,Code,Name
229,TEC,Europe & Central Asia (IDA & IBRD countries)
230,TGO,Togo
231,THA,Thailand
232,TJK,Tajikistan
233,TKM,Turkmenistan
234,TLA,Latin America & the Caribbean (IDA & IBRD countries)
235,TLS,Timor-Leste
236,TMN,Middle East & North Africa (IDA & IBRD countries)
237,TON,Tonga
238,TSA,South Asia (IDA & IBRD)
239,TSS,Sub-Saharan Africa (IDA & IBRD countries)
240,TTO,Trinidad and Tobago
241,TUN,Tunisia
242,TUR,Turkey
243,TUV,Tuvalu
244,TZA,Tanzania
245,UGA,Uganda
246,UKR,Ukraine
247,UMC,Upper middle income
248,URY,Uruguay
249,USA,United States
250,UZB,Uzbekistan
251,VCT,St. Vincent and the Grenadines
252,VEN,"Venezuela, RB"
253,VGB,British Virgin Islands
254,VIR,Virgin Islands (U.S.)
255,VNM,Vietnam
256,VUT,Vanuatu
257,WLD,World
258,WSM,Samoa
259,XKX,Kosovo
260,YEM,"Yemen, Rep."
261,ZAF,South Africa
262,ZMB,Zambia
263,ZWE,Zimbabwe
