country_code, year, co2(tonnes), gdp(USD), pop_rel, pop_tot, electric_sources(Kwh)
BOL,1979,4730080.04,4421343606.18135,2.174160006,5462419,22000000
BOL,1980,4658969.21,4526916802.61011,2.128539564,5579935,32000000
BOL,1981,4781037.84,5872756933.11582,2.077944375,5697096,32000000
BOL,1982,4337860.71,5587490264.8127,2.037156857,5814345,32000000
BOL,1983,4278137.31,5422440961.87886,2.016982259,5932810,29000000
BOL,1984,4029348.74,6169501037.97622,2.024156505,6054123,26000000
BOL,1985,4109757.98,5377277406.71638,2.049136147,6179460,22000000
BOL,1986,3763680.23,3958338883.22338,2.076690165,6309130,24000000
BOL,1987,4011801.49,4323623622.1622,2.097024913,6442831,31000000
BOL,1988,4286777.58,4597615562.66594,2.111412083,6580312,36000000
BOL,1989,4968446.25,4715978868.21613,2.117190276,6721115,33000000
BOL,1990,5726770.92,4867582620.20708,2.115896027,6864842,32000000
BOL,1991,5974016.84,5343274311.56789,2.113193123,7011453,37000000
BOL,1992,6621986.56,5643893347.00679,2.109350945,7160920,41000000
BOL,1993,7791825.61,5734676560.92471,2.099461032,7312850,43000000
BOL,1994,8592436.51,5981244886.917,2.083251503,7466793,44000000
BOL,1995,9798968.84,6715220507.05164,2.061755709,7622338,45000000
BOL,1996,9774539.03,7396966657.47054,2.037897103,7779267,47000000
BOL,1997,10883062.76,7925673448.41368,2.013095505,7937458,48000000
BOL,1998,10923850.35,8497545598.08352,1.98710323,8096761,50000000
BOL,1999,10376044.38,8285075872.27307,1.960521346,8257066,52000000
BOL,2000,11004693.64,8397912509.09679,1.93343126,8418264,54000000
BOL,2001,8560603.66,8141537937.61068,1.905767118,8580235,54000000
BOL,2002,10328100.87,7905485216.17852,1.877080341,8742814,54000000
BOL,2003,11011167.44,8082364868.39357,1.847322665,8905823,54000000
BOL,2004,11018326.24,8773451738.91129,1.816097236,9069039,54000000
BOL,2005,12070483.44,9549077869.10651,1.784254998,9232306,56000000
BOL,2006,14920842.64,11451869164.7112,1.7516249,9395446,60000000
BOL,2007,12176849.87,13120183156.7149,1.719932541,9558439,72000000
BOL,2008,13040638.6,16674324634.2373,1.691076655,9721454,97000000
BOL,2009,13746585.64,17339992165.2422,1.666110583,9884781,121000000
BOL,2010,14941383.54,19649631314.0482,1.643602456,10048590,119000000
BOL,2011,15851237.6,23963033430.5954,1.622458837,10212954,122000000
BOL,2012,18485711.54,27084497482.8616,1.600004605,10377676,123000000
BOL,2013,18571625.04,30659338880.3786,1.574598408,10542376,60000000
BOL,2014,20029798.51,32996188012.6821,1.544967683,10706517,201000000
BOL,2015,20001925.37,33000198248.3362,1.512924033,10869730,215000000
BRA,1961,49144504.1,15236854859.469,2.911132898,74311343,
BRA,1962,53631448.03,19926293839.0163,2.921441247,76514328,
BRA,1963,55550938.29,23021477292.2093,2.908792685,78772657,
BRA,1964,56666675.33,21211892259.9904,2.868006568,81064571,
