,Country Code,Indicator Code,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
70,ETH,CM.MKT.LCAP.GD.ZS,,,,,,,,,,,,,,,,,,,,
71,EUU,CM.MKT.LCAP.GD.ZS,82.357270097498,64.7188482703094,47.6444471099407,55.35354851203421,57.0387690747581,57.5642724254185,74.0562835215313,77.5697242179243,34.6680713377912,55.664496136741,55.8290104170104,43.3247277790771,54.032517638045796,64.41223004918359,57.0847943306682,62.4857697959734,61.587706018752606,74.9978266046609,52.666350132314996,
72,FCS,CM.MKT.LCAP.GD.ZS,,,,,,,,,,,,,,,,,,,,
73,FIN,CM.MKT.LCAP.GD.ZS,233.587002359977,147.159917789086,99.351582879194,99.42664687081958,93.2265694024868,,,,,,,,,,,,,,,
74,FJI,CM.MKT.LCAP.GD.ZS,,,,,,,,,,,,,,,,,,,,
75,FRA,CM.MKT.LCAP.GD.ZS,106.19454910255399,85.3390913080223,64.7141601996185,73.672343155496,73.69089994137391,80.0734168690275,104.729509973319,103.12838875973499,50.4528338042442,72.3429120187645,72.3343859395998,54.3074198972564,67.37356416111611,81.8577582882045,73.1337508076341,85.6496820148227,87.365320652491,106.303603505215,85.1816460580494,
76,FRO,CM.MKT.LCAP.GD.ZS,,,,,,,,,,,,,,,,,,,,
77,FSM,CM.MKT.LCAP.GD.ZS,,,,,,,,,,,,,,,,,,,,
78,GAB,CM.MKT.LCAP.GD.ZS,,,,,,,,,,,,,,,,,,,,
79,GBR,CM.MKT.LCAP.GD.ZS,155.444897746271,131.047452893823,104.019138542635,118.158783004659,116.508390851948,120.463485748499,139.340721159681,124.044108811534,63.9194540945488,,,,,,,,,,,
80,GEO,CM.MKT.LCAP.GD.ZS,,,,,,,,,,,,,,,,,,,,
81,GHA,CM.MKT.LCAP.GD.ZS,10.0340668446736,5.2681983782804105,5.675985428349231,8.38529755417737,5.404572481618309,5.684129680200041,3.72372534711948,9.69872565566041,9.97087274233216,9.34265231439271,9.161494329838359,7.831186116964941,,,,,,,,
82,GIB,CM.MKT.LCAP.GD.ZS,,,,,,,,,,,,,,,,,,,,
83,GIN,CM.MKT.LCAP.GD.ZS,,,,,,,,,,,,,,,,,,,,
84,GMB,CM.MKT.LCAP.GD.ZS,,,,,,,,,,,,,,,,,,,,
85,GNB,CM.MKT.LCAP.GD.ZS,,,,,,,,,,,,,,,,,,,,
86,GNQ,CM.MKT.LCAP.GD.ZS,,,,,,,,,,,,,,,,,,,,
87,GRC,CM.MKT.LCAP.GD.ZS,,62.230110680401204,43.59425804789289,52.8136958638476,52.070918589636605,58.567673693294296,73.42957034860821,83.19074923308258,25.4471014429321,34.131004223491104,22.5768519718016,11.737020716252598,18.26695494987,34.4340646110114,23.2689397551234,21.4045934345153,19.0362584917884,24.918099610675203,17.598736585113002,
88,GRD,CM.MKT.LCAP.GD.ZS,,,,,,,,,,,,,,,,,,,,
89,GRL,CM.MKT.LCAP.GD.ZS,,,,,,,,,,,,,,,,,,,,
90,GTM,CM.MKT.LCAP.GD.ZS,,,,,,,,,,,,,,,,,,,,
91,GUM,CM.MKT.LCAP.GD.ZS,,,,,,,,,,,,,,,,,,,,
92,GUY,CM.MKT.LCAP.GD.ZS,,,,,,,,,,,,,,,,,,,,
93,HIC,CM.MKT.LCAP.GD.ZS,111.557428511072,97.204466317922,78.7437934810319,93.51275087154079,99.2586220094537,104.07158519569799,119.064335721868,119.41884862839198,62.460458453361596,92.53206271670861,100.137786870523,81.3435147822531,94.168979977414,114.065010820656,115.544172522547,116.34917249514,120.217221436688,139.692672147807,118.845550801049,
94,HKG,CM.MKT.LCAP.GD.ZS,363.141146951516,298.738628284923,278.36313009363,442.79171807691597,509.440625336289,581.042486425494,886.114676835283,1254.46531470938,605.969727570166,1076.93595789398,1185.8570081646901,908.616284735038,1078.30479473123,1124.70520227002,1109.2560635007,1029.42558744584,995.209309755088,1273.24515887017,1053.0479063999499,
95,HND,CM.MKT.LCAP.GD.ZS,,,,,,,,,,,,,,,,,,,,
96,HPC,CM.MKT.LCAP.GD.ZS,,,,,,,,,,,,,,,,,,,,
